年,月,日,気温,品質,均質
2010,1,5,4.6,8,1
2010,1,6,3.4,8,1
2010,1,7,2.8,8,1
2010,1,8,4.6,8,1
2010,1,9,6.3,8,1
2010,1,10,7.8,8,1
2010,1,11,7.4,8,1
2010,1,12,5.2,8,1
2010,1,13,1.1,8,1
2010,1,14,2,8,1
2010,1,15,3.6,8,1
2010,1,16,4.5,8,1
2010,1,17,4.1,8,1
2010,1,18,5.9,8,1
2010,1,19,7.7,8,1
2010,1,20,13,8,1
2010,1,21,12.1,8,1
2010,1,22,6.9,8,1
2010,1,23,3.8,8,1
2010,1,24,6.2,8,1
2010,1,25,8,8,1
2010,1,26,5.1,8,1
2010,1,27,7.2,8,1
2010,1,28,10.7,8,1
2010,1,29,7.6,8,1
2010,1,30,7.6,8,1
2010,1,31,7.2,8,1
2010,2,1,6.5,8,1
2010,2,2,6.3,8,1
2010,2,3,3.9,8,1
2010,2,4,3.1,8,1
2010,2,5,5.3,8,1
2010,2,6,4.6,8,1
2010,2,7,4.9,8,1
2010,2,8,12.2,8,1
2010,2,9,16.1,8,1
2010,2,10,13.6,8,1
2010,2,11,9.5,8,1
2010,2,12,6.8,8,1
2010,2,13,5.6,8,1
2010,2,14,5.9,8,1
2010,2,15,7.3,8,1
2010,2,16,6,8,1
2010,2,17,5.3,8,1
2010,2,18,5.3,8,1
2010,2,19,4.8,8,1
2010,2,20,6.1,8,1
2010,2,21,6.6,8,1
2010,2,22,10.4,8,1
2010,2,23,11.3,8,1
2010,2,24,14,8,1
2010,2,25,16.6,8,1
2010,2,26,13.9,8,1
2010,2,27,11.6,8,1
2010,2,28,11.9,8,1
2010,3,1,12.5,8,1
2010,3,2,11.4,8,1
2010,3,3,10.7,8,1
2010,3,4,11.6,8,1
2010,3,5,13.6,8,1
2010,3,6,11.4,8,1
2010,3,7,9,8,1
2010,3,8,7.7,4,1
2010,3,9,6,4,1
2010,3,10,2.9,8,1
2010,3,11,6.4,8,1
2010,3,12,11.8,8,1
2010,3,13,13.9,8,1
2010,3,14,12.1,8,1
2010,3,15,14.9,8,1
2010,3,16,9.6,8,1
2010,3,17,8.4,8,1
2010,3,18,8.2,8,1
2010,3,19,11.3,8,1
2010,3,20,18.9,8,1
2010,3,21,9.9,8,1
2010,3,22,10.4,8,1
2010,3,23,10,8,1
2010,3,24,9.4,8,1
2010,3,25,8.5,8,1
2010,3,26,5.9,8,1
2010,3,27,7.1,8,1
2010,3,28,10.2,8,1
2010,3,29,9,8,1
2010,3,30,8.7,8,1
2010,3,31,12.5,8,1
2010,4,1,16.8,8,1
2010,4,2,11.2,8,1
2010,4,3,9.1,8,1
2010,4,4,12.6,8,1
2010,4,5,15.9,8,1
2010,4,6,16.2,8,1
2010,4,7,10.9,8,1
2010,4,8,10.7,8,1
2010,4,9,12.3,5,1
2010,4,10,16.7,8,1
2010,4,11,16.3,8,1
2010,4,12,14.4,8,1
2010,4,13,12.3,8,1
2010,4,14,8.8,8,1
2010,4,15,9.3,8,1
2010,4,16,9.9,8,1
2010,4,17,11.5,8,1
2010,4,18,13.4,8,1
2010,4,19,14.8,8,1
2010,4,20,15,8,1
2010,4,21,16.1,8,1
2010,4,22,13.1,8,1
2010,4,23,12,8,1
2010,4,24,12,8,1
2010,4,25,12.7,8,1
2010,4,26,15.3,8,1
2010,4,27,14.6,8,1
2010,4,28,13.8,8,1
2010,4,29,12.8,8,1
2010,4,30,14,8,1
2010,5,1,14.4,8,1
2010,5,2,17.8,8,1
2010,5,3,21.5,8,1
2010,5,4,21.4,8,1
2010,5,5,20.4,8,1
2010,5,6,22.3,8,1
2010,5,7,19.3,8,1
2010,5,8,19.6,8,1
2010,5,9,20.9,8,1
2010,5,10,16.4,8,1
2010,5,11,16,8,1
2010,5,12,15.1,8,1
2010,5,13,15.4,8,1
2010,5,14,15.6,8,1
2010,5,15,16.9,8,1
2010,5,16,19.2,8,1
2010,5,17,21.2,8,1
2010,5,18,21.5,8,1
2010,5,19,20.3,8,1
2010,5,20,20.2,8,1
2010,5,21,20.7,8,1
2010,5,22,19.2,8,1
2010,5,23,19.3,8,1
2010,5,24,19.4,8,1
2010,5,25,18.9,8,1
2010,5,26,15.8,8,1
2010,5,27,15.2,8,1
2010,5,28,15.4,8,1
2010,5,29,18.2,8,1
2010,5,30,16.8,8,1
2010,5,31,17,8,1
2010,6,1,19.7,8,1
2010,6,2,21,8,1
2010,6,3,22,8,1
2010,6,4,21.8,8,1
2010,6,5,22.2,8,1
2010,6,6,23.2,8,1
2010,6,7,21.6,8,1
2010,6,8,21.4,8,1
2010,6,9,22.7,8,1
2010,6,10,23,8,1
2010,6,11,24.4,8,1
2010,6,12,24.4,8,1
2010,6,13,21.1,8,1
2010,6,14,23.3,8,1
2010,6,15,21.4,8,1
2010,6,16,23.5,8,1
2010,6,17,25.2,8,1
2010,6,18,24.2,8,1
2010,6,19,24.7,8,1
2010,6,20,24.4,8,1
2010,6,21,24.4,8,1
2010,6,22,24.9,8,1
2010,6,23,23.5,8,1
2010,6,24,25.1,8,1
2010,6,25,23,8,1
2010,6,26,24.2,8,1
2010,6,27,25.4,8,1
2010,6,28,24.3,8,1
2010,6,29,24.6,8,1
2010,6,30,24.8,8,1
2010,7,1,26.4,8,1
2010,7,2,28,8,1
2010,7,3,26.6,8,1
2010,7,4,23.9,8,1
2010,7,5,24.3,8,1
2010,7,6,26,8,1
2010,7,7,26.5,8,1
2010,7,8,25.7,8,1
2010,7,9,24.6,8,1
2010,7,10,25.1,8,1
2010,7,11,27.8,8,1
2010,7,12,24,8,1
2010,7,13,24.6,8,1
2010,7,14,24.4,8,1
2010,7,15,24.7,8,1
2010,7,16,26.6,8,1
2010,7,17,27.6,8,1
2010,7,18,28.2,8,1
2010,7,19,28.9,8,1
2010,7,20,29.3,8,1
2010,7,21,29.4,8,1
2010,7,22,29.5,8,1
2010,7,23,28.9,8,1
2010,7,24,28.6,8,1
2010,7,25,29.2,8,1
2010,7,26,29,8,1
2010,7,27,28.1,8,1
2010,7,28,26.5,8,1
2010,7,29,28.6,8,1
2010,7,30,29.1,8,1
2010,7,31,29.8,8,1
2010,8,1,29.8,8,1
2010,8,2,29.6,8,1
2010,8,3,29.9,8,1
2010,8,4,29.8,8,1
2010,8,5,30.4,8,1
2010,8,6,30.1,8,1
2010,8,7,29.3,8,1
2010,8,8,29.1,8,1
2010,8,9,28.2,8,1
2010,8,10,28.9,8,1
2010,8,11,27.8,8,1
2010,8,12,28.9,8,1
2010,8,13,28.9,8,1
2010,8,14,29.8,8,1
2010,8,15,30.4,8,1
2010,8,16,29.5,8,1
2010,8,17,29.8,8,1
2010,8,18,29.4,8,1
2010,8,19,30.9,8,1
2010,8,20,31.3,8,1
2010,8,21,31.1,8,1
2010,8,22,30.2,8,1
2010,8,23,29.7,8,1
2010,8,24,29.3,8,1
2010,8,25,29.2,8,1
2010,8,26,28.4,8,1
2010,8,27,29.5,8,1
2010,8,28,30.1,8,1
2010,8,29,28.8,8,1
2010,8,30,27.3,8,1
2010,8,31,28.8,8,1
2010,9,1,29.7,8,1
2010,9,2,29.7,8,1
2010,9,3,30.1,8,1
2010,9,4,30,8,1
2010,9,5,29.4,8,1
2010,9,6,28.8,8,1
2010,9,7,27.4,8,1
2010,9,8,24.7,8,1
2010,9,9,25.7,8,1
2010,9,10,27.6,8,1
2010,9,11,29.7,8,1
2010,9,12,28.3,8,1
2010,9,13,25.4,8,1
2010,9,14,24.7,8,1
2010,9,15,24.1,8,1
2010,9,16,24.6,8,1
2010,9,17,25,8,1
2010,9,18,25.6,8,1
2010,9,19,26.1,8,1
2010,9,20,27.6,8,1
2010,9,21,28.5,8,1
2010,9,22,26.2,8,1
2010,9,23,21.9,8,1
2010,9,24,22.4,8,1
2010,9,25,22.1,8,1
2010,9,26,20.8,8,1
2010,9,27,20.1,8,1
2010,9,28,22,8,1
2010,9,29,20.4,8,1
2010,9,30,21,8,1
2010,10,1,21.7,8,1
2010,10,2,22.4,8,1
2010,10,3,22.1,8,1
2010,10,4,20.5,8,1
2010,10,5,19.2,8,1
2010,10,6,19.5,8,1
2010,10,7,20.3,8,1
2010,10,8,19.2,8,1
2010,10,9,20.8,8,1
2010,10,10,21,8,1
2010,10,11,20.3,8,1
2010,10,12,20.9,8,1
2010,10,13,20.5,8,1
2010,10,14,20.5,8,1
2010,10,15,19.4,8,1
2010,10,16,16.7,8,1
2010,10,17,17.8,8,1
2010,10,18,18.7,8,1
2010,10,19,19.8,8,1
2010,10,20,21.1,8,1
2010,10,21,21.1,8,1
2010,10,22,20.2,8,1
2010,10,23,21.2,8,1
2010,10,24,20.8,8,1
2010,10,25,19.5,8,1
2010,10,26,15.1,8,1
2010,10,27,13,8,1
2010,10,28,13.5,8,1
2010,10,29,15.9,8,1
2010,10,30,17.1,8,1
2010,10,31,16.4,8,1
2010,11,1,15.2,8,1
2010,11,2,13.4,8,1
2010,11,3,11.2,8,1
2010,11,4,11.6,8,1
2010,11,5,12.5,8,1
2010,11,6,13.7,8,1
2010,11,7,16.2,8,1
2010,11,8,15.4,8,1
2010,11,9,11.8,8,1
2010,11,10,12.5,8,1
2010,11,11,15.7,8,1
2010,11,12,14.6,8,1
2010,11,13,12.8,8,1
2010,11,14,15.2,8,1
2010,11,15,12.8,8,1
2010,11,16,10.3,8,1
2010,11,17,11.2,8,1
2010,11,18,11.8,8,1
2010,11,19,11.1,8,1
2010,11,20,12.3,8,1
2010,11,21,13,8,1
2010,11,22,13.9,8,1
2010,11,23,13.7,8,1
2010,11,24,11.3,8,1
2010,11,25,10.9,8,1
2010,11,26,9.2,8,1
2010,11,27,9.5,8,1
2010,11,28,8.8,8,1
2010,11,29,8.8,8,1
2010,11,30,10.6,8,1
2010,12,1,12.3,8,1
2010,12,2,12,8,1
2010,12,3,11,8,1
2010,12,4,9.2,8,1
2010,12,5,11,8,1
2010,12,6,12.7,8,1
2010,12,7,9.6,8,1
2010,12,8,6.7,8,1
2010,12,9,6.7,8,1
2010,12,10,7.6,8,1
2010,12,11,10.9,8,1
2010,12,12,8.5,8,1
2010,12,13,11.8,8,1
2010,12,14,12.9,8,1
2010,12,15,4.6,8,1
2010,12,16,3.5,8,1
2010,12,17,4.8,8,1
2010,12,18,7.5,8,1
2010,12,19,9.3,8,1
2010,12,20,12.9,8,1
2010,12,21,9.7,8,1
2010,12,22,10.3,8,1
2010,12,23,9.8,8,1
2010,12,24,6,8,1
2010,12,25,2.2,8,1
2010,12,26,4.5,8,1
2010,12,27,6.8,8,1
2010,12,28,8.6,8,1
2010,12,29,5.9,8,1
2010,12,30,5.1,8,1
2010,12,31,1.9,8,1
2011,1,1,2.5,8,1
2011,1,2,3.8,8,1
2011,1,3,3.8,8,1
2011,1,4,4.2,8,1
2011,1,5,5.5,8,1
2011,1,6,4.1,8,1
2011,1,7,3.3,8,1
2011,1,8,4.2,8,1
2011,1,9,6.4,8,1
2011,1,10,2,8,1
2011,1,11,3.4,8,1
2011,1,12,3,8,1
2011,1,13,2.4,8,1
2011,1,14,3.5,8,1
2011,1,15,2.2,8,1
2011,1,16,-0.2,8,1
2011,1,17,2.5,8,1
2011,1,18,3.1,8,1
2011,1,19,4,8,1
2011,1,20,3.6,8,1
2011,1,21,3.3,8,1
2011,1,22,2.9,8,1
2011,1,23,3.9,8,1
2011,1,24,3.9,8,1
2011,1,25,3.3,8,1
2011,1,26,2.8,8,1
2011,1,27,2.6,8,1
2011,1,28,3.2,8,1
2011,1,29,2.1,8,1
2011,1,30,0.3,8,1
2011,1,31,1.6,8,1
2011,2,1,4.9,8,1
2011,2,2,5.4,8,1
2011,2,3,6.7,8,1
2011,2,4,7.1,8,1
2011,2,5,6.5,8,1
2011,2,6,6.7,8,1
2011,2,7,7.6,8,1
2011,2,8,6.3,8,1
2011,2,9,8.1,8,1
2011,2,10,5.6,8,1
2011,2,11,5.3,8,1
2011,2,12,2.6,8,1
2011,2,13,3.1,8,1
2011,2,14,3.6,8,1
2011,2,15,5.4,8,1
2011,2,16,5.9,8,1
2011,2,17,9.3,8,1
2011,2,18,7.9,8,1
2011,2,19,5.9,8,1
2011,2,20,8,8,1
2011,2,21,8.5,8,1
2011,2,22,7.5,8,1
2011,2,23,9.7,8,1
2011,2,24,12.7,8,1
2011,2,25,12.2,8,1
2011,2,26,9.9,8,1
2011,2,27,12.7,8,1
2011,2,28,12,8,1
2011,3,1,9.5,8,1
2011,3,2,6.6,8,1
2011,3,3,4.4,8,1
2011,3,4,4.5,8,1
2011,3,5,5.9,8,1
2011,3,6,7.9,8,1
2011,3,7,7.5,8,1
2011,3,8,6.6,8,1
2011,3,9,7.4,8,1
2011,3,10,6.1,8,1
2011,3,11,7.6,8,1
2011,3,12,9.2,8,1
2011,3,13,11.1,8,1
2011,3,14,12.4,8,1
2011,3,15,10,8,1
2011,3,16,5,8,1
2011,3,17,5.1,8,1
2011,3,18,7,8,1
2011,3,19,13.1,8,1
2011,3,20,13.7,8,1
2011,3,21,10.3,8,1
2011,3,22,8.9,8,1
2011,3,23,6.3,8,1
2011,3,24,6.7,8,1
2011,3,25,6.9,8,1
2011,3,26,5.3,8,1
2011,3,27,5.8,8,1
2011,3,28,8.2,8,1
2011,3,29,9.2,8,1
2011,3,30,10.2,8,1
2011,3,31,11.6,8,1
2011,4,1,12.5,8,1
2011,4,2,12.9,8,1
2011,4,3,10.9,8,1
2011,4,4,10,8,1
2011,4,5,10.2,8,1
2011,4,6,13.4,8,1
2011,4,7,17.5,8,1
2011,4,8,14,8,1
2011,4,9,13.8,8,1
2011,4,10,14.1,8,1
2011,4,11,11.3,8,1
2011,4,12,11.5,8,1
2011,4,13,13.7,8,1
2011,4,14,15,8,1
2011,4,15,18.1,8,1
2011,4,16,13.9,8,1
2011,4,17,13,8,1
2011,4,18,13.3,8,1
2011,4,19,9.5,8,1
2011,4,20,11.8,8,1
2011,4,21,14.3,8,1
2011,4,22,16.2,8,1
2011,4,23,13.4,8,1
2011,4,24,13.4,8,1
2011,4,25,14.8,8,1
2011,4,26,19.3,8,1
2011,4,27,17.4,8,1
2011,4,28,13,8,1
2011,4,29,15.7,8,1
2011,4,30,20.9,8,1
2011,5,1,19.1,8,1
2011,5,2,15.9,8,1
